snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,DEVENY COMMENT,WiFeS Spectrum of transient,Following up with time-series spectroscopy,WiFeS Host Spectrum (after SN has faded from view),Classification Comment,Get With DeVenny,Host Name ,Host Redshift,Separation [arcmin] ,Host Mag,Host Mag Filter,Host Name 2,Host Redshift 2,Separation 2 [arcmin],Host Mag 2,Host Mag Filter 2,Host Name 3,Host Redshift 3,Separation 3 [arcmin],Host Mag 3,Host Mag Filter 3,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,discovery date,first obs date,Class Group,Comment.1,set date,estimated peak,Days since Peak,link
2021aclv,17.28,0.018279,g-ZTF,FINISHED,spec ia,NO,29,14.4807125,-5.1317389,16th mag,,,,Observed,,,NGC 0327,0.018279,0.081,14.5,b,,,,,,,,,,,99.0,996,ZTF,,-,0.0516,SPIRAL,2021-10-30 5:08:10,2021-10-31,ZTF,,,,,
2021addd,18.8075,0.037396,r-ZTF,YES,spec ia ,NO,54,48.742625,4.9075111,elliptical,,SN Ia at z=0.0377,,Observed,,,WISEA J031458.34+045428.2,0.037396,0.033,16.55,-,,,,,,,,,,,99.0,992,ZTF,,-,0.1175,Elliptical,2021-11-03 6:48:00,2021-11-03,ZTF,,,,,
2021adlv,19.17,0.033,r-ZTF,FINISHED,Spec ia ,NO,22,127.7659917,-4.1942167,elliptical,,,,"Reduced, z=0.018",,,MCG -01-22-016,0.032626,0.176,15,-,,,,,,,,,,,99.0,990,ZTF,,,0.0334,Elliptical,2021-11-05 11:35:53,2021-11-09,UCSC,,,,,
2021adlz,17.51,0.029,r-ZTF,FINISHED,spec ia,NO,7,157.5367,12.0613944,,,,,,,,cb,-,,,,,,,,,,,,,,99.0,992,ZTF,,,0.0293,Elliptical?,2021-11-03 11:28:19,2021-11-06,ZTF,,,,,
2021adoz,20.53,0.056,g-ZTF,FINISHED,spec ia,NO,10,125.4689042,8.0814861,get on 13th,,,,,,,cb,-,,,,,,,,,,,,,,99.0,991,ZTF,,,0.0224,Elliptical,2021-11-04 10:42:14,2021-11-13,,,,,,
2021agbv,18.315,0.052,orange-ATLAS,FINISHED,spec ia,NO,22,29.167725,-14.130075,,,SN Ia at z=0.0519,,,,YES,WISEA J015640.38-140748.0,-,0.03,18.24,-,,,,,,,,,,,99.0,962,ATLAS,,,0.0138,Spiral?,2021-12-03 7:43:41,2021-12-06,ATLAS,,,,,
2021agep,17.6,0.02,g-Sloan,FINISHED,spec ia,NO,,39.7933917,1.1433528,,,,,"Reduced, z=0.02058",,,WISEA J023910.60+010836.1,0.020522,0.04,15.9,g,,,,,,,,,,,99.0,"9,999",ASAS-SN,,,0.0313,Elliptical?,,2021-12-09 5:16:48,ASAS-SN,,,,,
2021aggc,17.53,0.034782,,FINISHED,phot ia,NO,,50.4161083,-6.636325,,,,,,,,WISEA J032139.93-063808.0,0.034782,0.049,15.5,g,,,,,,,,,,,99.0,953,ATLAS,,,0.0505,Spiral,2021-12-12 7:40:48,,,,,,,
2021aggu,17.187,0.029,orange-ATLAS,FINISHED,spec ia,NO,,136.88,18.4360306,SHARED WITH YSE,,,,Observed,,,NGC 2761,0.029109,0.117,15.1,g,,,,,,,,,,,99.0,951,ATLAS,,YSE21aggu,0.0309,Spiral,2021-12-13 12:40:19,,TMTS,,,,,
2021agjd,17.537,0.044,orange-ATLAS,YES,spec ia,NO,20,11.8689958,14.7528639,hit elevation limit,,,,Observed,,,WISEA J004728.52+144501.7,0.039471,0.137,18.2,g,,,,,,,,,,,99.0,948,ATLAS,,,0.083,Elliptical?,2021-12-17 5:55:41,2021-12-18,ZTF,,,,,
2021aglf,17.983,0.048,orange-ATLAS,YES,spec ia,NO,16,22.5680375,20.6004056,,,,,Observed,,,CGCG 459-066 NED02,0.047997,0.022,16.02,-,CGCG 459-066 NED01,0.068375,0.333,16.64,-,WISEA J013015.09+203546.1,0.062096,0.377,14.1,-,99.0,944,ATLAS,,,0.0415,Elliptical,2021-12-21 9:25:55,2021-12-21,,,,,,
2022huw,18.32,0.044607,g-ZTF,FINISHED,spec ia,NO,10,149.1949458,11.90865,,,,,,,,SDSS J095647.08+115426.7,0.044607,0.105,-,-,SDSS J095647.67+115430.0,-,0.217,22.9,g,2MASX J09564754+1154209,0.045217,0.26,16.8,g,99.0,825,ZTF,,,0.0269,Spiral?,2022-04-19 6:10:05,2022-04-23,,,,,,
2022itd,19.6572,0.06,g-ZTF,YES,spec ia,NO,18,273.9674167,12.0377472,elliptical ,,,,Observed,,,WISEA J181552.01+120216.5,0.054655,0.042,-,-,,,,,,,,,,,99.0,816,ZTF,,,0.1489,Elliptical,2022-04-28 11:04:18,2022-05-02,,,,,,
2022jnr,19.6477,0.035,r-ZTF,YES,spec ia,NO,51,225.664475,17.2398,,,,,,,,IC 1085,0.038046,15,-,,,,,,,,,,,,99.0,806,ZTF,,,0.0232,Elliptical,2022-05-08 7:29:17,2022-05-14,ZTF,,,,,
2022jut,18.9971,0.034129,g-ZTF,FINISHED,spec ia,NO,57,241.4584542,17.4798278,,,,,,,,WISEA J160550.02+172846.9,0.034129,0.013,16.6,g,,,,,,,,,,,99.0,803,ZTF,,,0.0398,Elliptical,2022-05-11 7:15:24,2022-05-17,Pan-STARRS	,,,,,
2022mhe,17.994,0.02874,cyan-ATLAS,YES,spec ia,NO,34,352.0268208,8.7624667,,,Unkown at z=0.02871,,Observed,,,GC 7675,0.02874,0.394,15.04,-,,,,,,,,,,,99.0,775,ATLAS,,,0.0504,Elliptical ,2022-06-07 13:45:15,2022-07-03,SCAT	,,,,,
2022nbm,19.4508,0.057912,g-ZTF,FINISHED,spec ia,NO,8,335.1092333,5.9918028,just get color,,,,,,,WISEA J222026.16+055930.4,0.057912,0.01,-,-,,,,,,,,,,,99.0,765,ZTF,,,0.0855,Elliptical,2022-06-18 9:37:44,2022-06-20,ZTF,,,,,
2022nrk,20.2834,0.039681,g-ZTF,YES,spec ia,NO,22,346.9560208,8.4905861,,,,,Observed,,,CGCG 406-001,0.039681,0.175,15.6,-,,,,,,,,,,,99.0,756,ZTF,,,0.0349,Elliptical,2022-06-27 9:22:37,2022-07-03,ZTF,,,,,
2022pdq,18.6983,0.034304,g-ZTF,YES,spec ia,NO,,355.4707583,-8.6464194,,,,,,,,MCG -02-60-012,0.034304,0.135,14.5,g,,,,,,,,,,,99.0,733,ZTF,,,0.0282,Spiral?,2022-07-20 10:06:32,2022-09-06,SCAT,,,,,
2022ppj,20.7447,0.036827,r-ZTF,YES,spec ia,NO,,12.3490167,19.9964806,,,,,Observed,,,WISEA J004923.71+195939.2,0.036827,0.143,16.8,-,,,,,,Observed,,,,,99.0,729,ZTF,,,0.0248,Elliptical,2022-07-24 10:53:06,2022-09-08,ZTF,,,,,
2022qku,19.01,0.025,w-P1,YES,spec ia,NO,,321.7322958,-7.0169472,,,,,,,,NGC 7065A,0.024655,0.59,14.6,g,,,,,,,,,,,99.0,720,Pan-STARRS,,,0.0938,Spiral,2022-08-02 10:15:56,2022-09-12,SCAT,,,,,
2022qoa,20.38,0.061019,r-ZTF,FINISHED,spec ia,NO,57,334.3922958,-3.5554333,,,,,,,,WISEA J221733.49-033316.4,0.061019,0.166,16.74,-,,,,,,,,,,,99.0,724,ZTF,,,0.0886,Elliptical,2022-07-29 8:23:59,2022-09-13,ZTF,,,,,
2022qke,19.4042,0.075,g-ZTF,FINISHED,spec ia,NO,51,16.3515,-2.3125194,,,SN Ia at z=0.075,,Observed,,,WISEA J010529.73-021916.0,0.070232,1.438,17.74,-,,,,,,,,,,,99.0,720,ZTF,,,0.0333,?,2022-08-02 11:22:13,2022-09-13,DEbass	,,,,,
2022rld,19.5685,0.089,r-ZTF,YES,spec ia,NO,56,351.5032542,-9.0853083,just get color,,,,,,,cb,,,,,,,,,,,,,,,99.0,704,ZTF,,,0.0307,too far to tell but it looks eliptical,2022-08-18 7:17:02,2022-09-12,SCAT,,,,,
2022rso,19.6456,0.050768,g-ZTF,YES,spec ia,NO,23,351.89935,16.6551333,,,,,Observed,,,WISEA J232735.90+163915.7,0.050768,0.05,13.47,-,,,,,,,,,,,99.0,701,ZTF,,,0.0323,Elliptical,2022-08-21 7:26:16,2022-09-13,ZTF,,,,,
2022ssk,20.3,0.028678,g-ZTF,FINISHED,spec ia,NO,50,37.3689625,-5.8483694,-5 days. good one!,,,,,,,KUG 0226-060,0.028678,0.009,15.5,-,,,,,,,,,,,99.0,694,ZTF,,,0.022,Spiral,2022-08-28 10:35:02,2022-09-11,ZTF,,,,,
2022suc,20.72,0.08,w-P1,YES,spec ia,NO,14,345.7821458,23.6463778,-4 days,,,,Observed,,,not available ,,,,,,,,,,,,,,,99.0,691,Pan-STARRS,,,0.1159,Elliptical?,2022-08-31 8:22:11,2022-09-13,SCAT,,,,,
2022szg,20.28,0.06,g-ZTF,FINISHED,spec ia,NO,1,33.0432292,-6.2108639,-5 days,,,,,,,XLSSC 081:[PPA2016] BCG,0.4266,0.49,-,-,[PPA2016] J033.03092-06.21239,0.4217,0.744,-,-,[PPA2016] J033.05433-06.21797,0.431,0.786,-,-,99.0,692,ZTF,,,0.0216,Elliptical,2022-08-30 10:52:19,2022-09-14,Global SN Project	,,,,,
2022wcm,19.0727,0.042,r-ZTF,YES,spec ia,NO,13,357.8868125,8.738,-8 days,,,,Observed,,,CGCG 407-065,0.042082,0.01,15.5,-,,,,,,,,,,,99.0,663,ZTF,,,0.071,Elliptical ,2022-09-28 5:36:09,2022-10-01,ZTF,,,,,
2022vrj,19.22,0.04,g-ZTF,YES,spec ia,NO,7,23.2446875,18.0761056,-4 days,,,,Observed,,,WISEA J013258.35+180430.5,0.086987,0.063,-,-,,,,,,,,,,,99.0,667,ZTF,,,0.0559,Elliptical ,2022-09-24 8:57:07,2022-10-01,ZTF,,,,,
2022vpn,20.222,0.063,g-ZTF,YES,spec ia,NO,36,335.5930792,25.839925,-5 days (northern),,,,Observed,,,WISEA J222221.66+255104.0,0.35612,0.69,-,-,WISEA J222226.35+255149.7,0.05208,1.67,-,-,,,,,,99.0,668,ZTF,,,0.0667,Elliptical ,2022-09-23 5:25:25,2022-10-01,ZTF,,,,,
2022wpy,18.968,0.0152,orange-ATLAS,YES,spec ia,NO,40,71.6167375,-4.7898833,-5 days on oct 13th,,,,,,,NGC 1659,0.015581,0.483,13.14,-,,,,,,,,,,,99.0,658,ATLAS,,,0.0315,Spiral,2022-10-03 6:40:34,2022-10-05,ZTF,,,,,
2022wxo,19.07,0.05,g-ZTF,FINISHED,spec ia,NO,27,29.073625,-7.6994722,-4days,,,,,,,WISEA J015617.66-074156.4,0.056146,0.029,17.4,-,,,,,,,,,,,99.0,658,ZTF,,,0.0199,Elliptical ,2022-10-03 8:49:55,2022-10-07,ZTF,,,,,
2022wsu,17.2,0.027,w-P1,YES,spec ia,NO,26,34.04855,17.9709556,-2days,,,,Observed,,,CGCG 461-070,0.026525,0.036,14.8,-,,,,,,,,,,,99.0,659,Pan-STARRS,,,0.1079,Elliptical ,2022-10-02 10:02:34,2022-10-07,QUB,,,,,
2022xix,19.26,0.024,r-ZTF,FINISHED,spec ia,NO,14,63.7809792,-0.9332611,-6 days,,,,Observed,,,MCG +00-11-029,0.050285,0.071,16,-,,,,,,,,,,,99.0,651,ZTF,,,0.107,Spiral?,2022-10-10 10:35:02,2022-10-13,ZTF,,,,,
2022xoz,18.84,0.038,r-ZTF,FINISHED,spec ia,NO,52,42.6067542,5.7937778,-5 on wed oct 19,,,,Observed,,,WISEA J025025.57+054736.8,0.05247,0.019,18.28,-,,,,,,,,,,,99.0,648,ZTF,,,0.1058,Elliptical,2022-10-13 9:10:05,2022-10-19,ZTF,,,,,
2022yrt,19.87,0.05,g-ZTF,FINISHED,spec ia,NO,39,132.1189458,1.3973111,-3 days on oct 28,,,,,,,CGCG 005-011,0.051454,0.074,15.5,g,,,,,,,,,,,99.0,641,ZTF,,,0.031,Elliptical,2022-10-20 11:09:36,2022-10-28,TCD,,,,,
